da_AVE,da_STD,dm_AVE,dm_STD,Temperature_AVE,Temperature_STD,Pressure_AVE,Pressure_STD,MeanFreePath_AVE,MeanFreePath_STD,Viscosity_AVE,Viscosity_STD,Dm_AVE,Dm_STD,rhoEff_AVE,rhoEff_STD,ABS_CRS_AVE_Tmatrix_MDL,ABS_CRS_STD_Tmatrix_MDL,SCA_CRS_AVE_Tmatrix_MDL,SCA_CRS_STD_Tmatrix_MDL,ABS_CRS_AVE_RDG_MDL,ABS_CRS_STD_RDG_MDL,SCA_CRS_AVE_RDG_MDL,SCA_CRS_STD_RDG_MDL,SSA_AVE_Tmatrix_MDL,SSA_STD_Tmatrix_MDL,SSA_AVE_RDG_MDL,SSA_STD_RDG_MDL,ABS_EFF_AVE_Tmatrix_MDL,ABS_EFF_STD_Tmatrix_MDL,SCA_EFF_AVE_Tmatrix_MDL,SCA_EFF_STD_Tmatrix_MDL,ABS_EFF_AVE_RDG_MDL,ABS_EFF_STD_RDG_MDL,SCA_EFF_AVE_RDG_MDL,SCA_EFF_STD_RDG_MDL
35.367361558290376,0.23165761601785367,50.0,0,298,1,93900,1,7.164366716891253e-08,3.010289119814822e-10,1.8364149773814477e-05,4.679094704314342e-08,2.56,0.01,502,1,0.0001388071236822261,0,7.057567578869066e-07,0,0.00012160322853906343,0,4.6599551536028785e-07,0,0.0050587211421662115,0,0.0038174693004727166,0,0.14130984941635175,0.0018507824898512713,0.0007184817215137037,9.410196068766649e-06,0.12379576391724913,0.001621394638251549,0.00047439752627544287,6.21334350355446e-06
36.52431777967471,0.22648848238931782,52.604,0,298,1,93900,1,7.166124099065835e-08,3.0438810293455556e-10,1.8366885432016023e-05,4.731100253517205e-08,2.56,0.01,502,1,0.0001581877839627557,0,9.056057239284095e-07,0,0.000138488142505454,0,6.026674527783193e-07,0,0.005692290080134032,0,0.0043329063434118685,0,0.15099723075033336,0.0018747670455423445,0.0008644406858688672,1.0732812135956314e-05,0.13219305237251777,0.0016412961814341242,0.0005752727179888248,7.142530551889889e-06
37.724507101136815,0.2130593054314872,55.343,0,298,1,93900,1,7.164511711911829e-08,2.9886787261296145e-10,1.8364378917642935e-05,4.6455739280117424e-08,2.56,0.01,502,1,0.00018225232050546924,0,1.1908226369427217e-06,0,0.00015885468159038295,0,7.898970984012751e-07,0,0.0064915080310102066,0,0.004947847931254361,0,0.16307132706561142,0.0018425364149573654,0.0010654955018813762,1.2038991142813322e-05,0.1421361531402368,0.0016059907204745544,0.0007067650371985597,7.98570994233149e-06
38.98085136713461,0.20706495619119494,58.225,0,298,1,93900,1,7.163915158065688e-08,3.0726091112319624e-10,1.836345446432682e-05,4.775602662283908e-08,2.56,0.01,502,1,0.0002246663044917695,0,1.6063700808729387e-06,0,0.0001942752480918828,0,1.0738250102261083e-06,0,0.007099266775835239,0,0.005496954724043253,0,0.18827045723184038,0.0019998563163891115,0.0013461388003583596,1.4299026104334761e-05,0.16280273924400596,0.0017293317878420292,0.0008998658081797995,9.558601741615228e-06
40.293863630564694,0.19197167565434115,61.258,0,298,1,93900,1,7.165140276482182e-08,3.075730394521619e-10,1.8365353519916877e-05,4.780711642585153e-08,2.56,0.01,502,1,0.0002569888786783688,0,2.039113859567208e-06,0,0.00022124978306512505,0,1.3871975648451867e-06,0,0.00787217566560328,0,0.006230759871608004,0,0.2015469367677038,0.0019208721584973766,0.0015992020908838385,1.5241426247673918e-05,0.1735180769947005,0.0016537390666437246,0.0010879280898224283,1.0368655617900733e-05
41.657022660051894,0.18061208013379051,64.44800000000001,0,298,1,93900,1,7.16511742114092e-08,3.0174456113806965e-10,1.836532338994512e-05,4.690120817843001e-08,2.56,0.01,502,1,0.0002936832166013052,0,2.602834685428183e-06,0,0.0002529374248761723,0,1.8055848326087085e-06,0,0.008784870816983778,0,0.00708786802304342,0,0.21549503896032735,0.0018678963122873633,0.0019098740760017435,1.6554658337882474e-05,0.1855971235231063,0.00160874321874192,0.001324878480806794,1.1483956384645556e-05
43.0725962514892,0.1698748365280972,67.804,0,298,1,93900,1,7.163797015594497e-08,3.0998101066041805e-10,1.8363264766069227e-05,4.818445153629557e-08,2.56,0.01,502,1,0.0003381815971910039,0,3.3586869756532826e-06,0,0.0002888889075813928,0,2.344692394688037e-06,0,0.009833940918121349,0,0.00805089932920037,0,0.23210166771619023,0.0018314380887561623,0.0023051427246807963,1.8189124738051514e-05,0.1982709816006904,0.0015644912471830853,0.0016092153434984066,1.2697790162790083e-05
44.552675365476965,0.15838099489073987,71.335,0,298,1,93900,1,7.164220142898705e-08,3.046514429159282e-10,1.836392599641719e-05,4.734857616985875e-08,2.56,0.01,502,1,0.0004080983825945713,0,4.40534162770658e-06,0,0.0003488588220466908,0,3.1388675676929885e-06,0,0.010679519648003854,0,0.008917295937742209,0,0.26178446978176706,0.0018610249836224404,0.0028259117688354566,2.008939799866523e-05,0.22378383657774303,0.001590878600053102,0.002013501687263547,1.4313977248868811e-05
46.10226126778063,0.14188612710732998,75.05,0,298,1,93900,1,7.164239922413578e-08,3.066106363321044e-10,1.8363951679244433e-05,4.7660748438814535e-08,2.56,0.01,502,1,0.00046732704301100293,0,5.741498143392614e-06,0,0.0003982679478450596,0,4.069054931721629e-06,0,0.012136715177428722,0,0.010113548849940517,0,0.2799618910348905,0.0017234109347803069,0.003439562725154906,2.117352468752956e-05,0.238590617608797,0.0014687344688343413,0.0024376511705161753,1.5005880503657652e-05
47.7170848231076,0.13468062802032163,78.958,0,298,1,93900,1,7.164059439056596e-08,3.0579275538454293e-10,1.836367378338571e-05,4.753336460085591e-08,2.56,0.01,502,1,0.000537977754302876,0,7.497970967414377e-06,0,0.0004539680904474169,0,5.252988140238176e-06,0,0.013745746364238358,0,0.011438909024807526,0,0.3008409902173285,0.0016984083640228574,0.004192918745089573,2.3671269866463053e-05,0.2538621881015211,0.001433187888622807,0.0029375083654842623,1.6583806527566108e-05
49.41353479983334,0.1186823394450463,83.07,0,298,1,93900,1,7.164118312410775e-08,3.0883606022921425e-10,1.836376811792366e-05,4.8010901607383415e-08,2.56,0.01,502,1,0.0006459062420365253,0,9.834518129738855e-06,0,0.0005427312797350346,0,6.944836056780442e-06,0,0.014997570270369194,0,0.012634414807666005,0,0.33681798402667046,0.0016180783820835723,0.00512836438906108,2.463673540878949e-05,0.2830157747542437,0.0013596118041078657,0.0036214941547325127,1.7397709387604126e-05
51.17714042987229,0.11227803816184088,87.396,0,298,1,93900,1,7.164112004736466e-08,3.0841627197542113e-10,1.8363752666077142e-05,4.7940948306899726e-08,2.56,0.01,502,1,0.0007376802869681891,0,1.2487963651040845e-05,0,0.0006180176583598818,0,8.930913507441994e-06,0,0.016646883736725186,0,0.014245049607245897,0,0.35861837430572957,0.001573852183400967,0.006070940625689287,2.6643261593989284e-05,0.3004451818065351,0.0013185501336732844,0.004341704312402267,1.9054240667351466e-05
53.02396426632091,0.10075486386978053,91.947,0,298,1,93900,1,7.165910256425717e-08,3.092650866126964e-10,1.8366549579735392e-05,4.8069065242430275e-08,2.56,0.01,502,1,0.0008452698550501756,0,1.5877738021820622e-05,0,0.0007038150937223271,0,1.1477338694261461e-05,0,0.018437882367155572,0,0.01604565933332429,0,0.3827946118397711,0.0014548764885519553,0.0071904996098501725,2.732872537843315e-05,0.31873445385369575,0.0012114048857022367,0.005197705069184802,1.9754768394570737e-05
54.95901965819885,0.10175415086047708,96.736,0,298,1,93900,1,7.16445357325274e-08,3.0827525406022165e-10,1.8364288720037863e-05,4.7908405995806735e-08,2.56,0.01,502,1,0.0010040582240171386,0,2.0463208383034488e-05,0,0.0008356953587056339,0,1.5058991083691129e-05,0,0.019973431239105277,0,0.017700751206761664,0,0.4232485974135421,0.0015671557734119078,0.008626017933550185,3.193941784740169e-05,0.3522772683659917,0.0013043713749679067,0.00634793551028821,2.3504398703239105e-05
56.986223891137456,0.099233167592721,101.773,0,298,1,93900,1,7.164913753013797e-08,3.028467496086575e-10,1.83649967912596e-05,4.7073421085085954e-08,2.56,0.01,502,1,0.0011481042968008426,0,2.6316475757665912e-05,0,0.0009516863362384211,0,1.9311363361393446e-05,0,0.022408046904973198,0,0.019888165923927933,0,0.45014833864286136,0.0015677537607865382,0.010318154782851911,3.5935545189310723e-05,0.3731368520791711,0.001299542068507527,0.0075715927187822545,2.6369958391499436e-05
59.11451297744941,0.11143277310164633,107.074,0,298,1,93900,1,7.163708441304338e-08,3.0286685969713545e-10,1.8363133370908932e-05,4.7081224203921166e-08,2.56,0.01,502,1,0.0013155793399284939,0,3.283711574868914e-05,0,0.0010837701742754766,0,2.4735848460551962e-05,0,0.02435235465307204,0,0.022314581926671555,0,0.4793398784778865,0.0018073537862668926,0.01196441643222861,4.511190140892856e-05,0.3948787031448828,0.0014888924358042732,0.009012667070138735,3.398231335415515e-05
61.3365573869434,0.12812698666815983,112.65,0,298,1,93900,1,7.164054255507446e-08,3.0097424494629187e-10,1.8363665225750516e-05,4.67847555814862e-08,2.56,0.01,502,1,0.0015533796306160946,0,4.2026699436279545e-05,0,0.0012791256122470062,0,3.220951006441934e-05,0,0.026342317091658966,0,0.024562378843056704,0,0.5257201416663213,0.002196436710676047,0.014223363011813058,5.9424614338338886e-05,0.4329026110718391,0.001808648959295932,0.010900869214664138,4.5543374551860977e-05
63.67530985216043,0.14718213806082286,118.516,0,298,1,93900,1,7.164302624660297e-08,3.019282532690885e-10,1.8364058530389525e-05,4.693067687609166e-08,2.56,0.01,502,1,0.0017756473494790653,0,5.43834437231063e-05,0,0.0014566124547678325,0,4.11447169844013e-05,0,0.029717228762007133,0,0.027470886309471566,0,0.5576114243420943,0.0025777398112405534,0.017078182514093272,7.89494422969396e-05,0.4574240182634314,0.0021145910055312693,0.012920788718860902,5.973053997688915e-05
66.13136620056967,0.168718701389671,124.68799999999999,0,298,1,93900,1,7.163756448717771e-08,3.1273283295421006e-10,1.836319892622046e-05,4.861958116088696e-08,2.56,0.01,502,1,0.0020351866459353903,0,6.943463857230006e-05,0,0.0016587864016204914,0,5.2485046792113156e-05,0,0.03299151209930963,0,0.030670205384890244,0,0.5925266069545799,0.003024650695600811,0.020215281424202432,0.00010319226901175601,0.48294100208329965,0.0024652527342073887,0.015280557561485907,7.800214963352599e-05
68.69827008314884,0.20302424829616023,131.181,0,298,1,93900,1,7.165271417268001e-08,3.070654958457527e-10,1.8365556730552563e-05,4.772775720738091e-08,2.56,0.01,502,1,0.002316336625604264,0,8.7096190129901e-05,0,0.001888907807363872,0,6.683747341404836e-05,0,0.03623824621171953,0,0.03417493784643724,0,0.6249302861487243,0.0036947173456099557,0.02349790027006277,0.00013892445547526621,0.5096131898603136,0.0030129387771109305,0.018032250116151727,0.00010661039920966065
71.39454671313672,0.23088503387412115,138.013,0,298,1,93900,1,7.165639912274222e-08,3.0891249477887944e-10,1.8366127986135338e-05,4.8006671470783525e-08,2.56,0.01,502,1,0.002736293120840819,0,0.0001133157945238649,0,0.002217382147347799,0,8.618103973644881e-05,0,0.039765384615721246,0,0.037412058075790455,0,0.6835279483039538,0.00441913383928541,0.028306365261602254,0.0001830058549984765,0.5539036217423678,0.003581088739119059,0.02152808440919339,0.00013918302323075453
74.22075461509104,0.2684844130690838,145.2,0,298,1,93900,1,7.164948309540877e-08,3.077767723157944e-10,1.8365052842587427e-05,4.7839411610915874e-08,2.56,0.01,502,1,0.0031204396257118777,0,0.00014080066390995268,0,0.002525061848000619,0,0.00010935822759706669,0,0.04317396186905316,0,0.041511309684449625,0,0.7212606233230389,0.0052190471084287895,0.03254476509630347,0.00023549415658905733,0.5836445824529187,0.004223256437273656,0.025277138116129656,0.0001829055549803057
77.20315922094878,0.30294009029143126,152.762,0,298,1,93900,1,7.16453738586073e-08,3.0815507871153897e-10,1.8364414601045755e-05,4.78923366998993e-08,2.56,0.01,502,1,0.003554119233106573,0,0.00017257204798017765,0,0.0028755603885826514,0,0.00013851091161245225,0,0.046307041545403604,0,0.045954756147768075,0,0.7592626499706934,0.005961513067982722,0.03686638006957668,0.0002894642671577251,0.6143028574980148,0.004823330257078889,0.029589936325463025,0.00023233171300054512
80.34644952345423,0.34492263409425766,160.717,0,298,1,93900,1,7.163732766740311e-08,3.0857600764198714e-10,1.836316675381006e-05,4.7963728927392185e-08,2.56,0.01,502,1,0.004163228379870624,0,0.00021936778616010817,0,0.0033590732994216955,0,0.00017698689924243352,0,0.05005430065868634,0,0.05005200400980069,0,0.8211660456845596,0.00705014640426394,0.04326867543050089,0.0003714845470130295,0.6625523960653869,0.005688364024918762,0.03490935853809614,0.00029971537409020135
83.63121455632304,0.39704304954531,169.08700000000002,0,298,1,93900,1,7.164108130759512e-08,3.122236130134993e-10,1.836374919710926e-05,4.852993849353904e-08,2.56,0.01,502,1,0.004755459782694372,0,0.0002721936993726363,0,0.0038252755376979703,0,0.00022319417436861432,0,0.05413931177705788,0,0.05513050368226231,0,0.8657553734414632,0.00822254239681951,0.04955423210734264,0.0004706430788003759,0.6964106528054391,0.00661418490020686,0.04063362211234528,0.00038591926865781364
87.08145569272497,0.43758958998013164,177.892,0,298,1,93900,1,7.165060292624594e-08,3.1478776027357857e-10,1.8365225872633336e-05,4.8930474447295025e-08,2.56,0.01,502,1,0.00542468632825031,0,0.00033878902738727874,0,0.004356214665557362,0,0.0002808146428420722,0,0.058782072704776915,0,0.06055916927965267,0,0.9108907445043338,0.00915507258629655,0.05688804305229458,0.0005717635913838645,0.7314774311033945,0.007351846549536931,0.04715322575501564,0.00047392204506381633
90.71575042899339,0.4808043709590903,187.15599999999998,0,298,1,93900,1,7.164004333241212e-08,3.1008407617522573e-10,1.8363583838592164e-05,4.820506438135931e-08,2.56,0.01,502,1,0.006208530304462954,0,0.00042773051852450694,0,0.004960759754596368,0,0.0003524648194091212,0,0.0644535424290262,0,0.06633727118057951,0,0.9606609475123403,0.010186088029685908,0.06618378022739492,0.0007017604007734169,0.7675903849266728,0.008138920658584533,0.05453773611041777,0.0005782749703722699
94.54110697615216,0.544493547894159,196.903,0,298,1,93900,1,7.163670149725944e-08,3.0088011751081627e-10,1.836306894029353e-05,4.676533326631347e-08,2.56,0.01,502,1,0.007216663372167938,0,0.0005243392994381403,0,0.005769635741649313,0,0.00044496254150020576,0,0.0677353208210884,0,0.07159956625140082,0,1.0281308972746313,0.011841443554965168,0.0747006485693596,0.0008603607924809591,0.8219783113186412,0.009467091984772165,0.0633921403082955,0.000730115643133523
